x,y,status,timestamp
-0.11222237348556519,-3,SUCCESS,2025-04-08 00:35:45
-0.1122,-3.005,SUCCESS,2025-04-08 00:38:11
-0.1172,-2.995,FAILURE,2025-04-08 00:40:36
-0.1082,-3.008,SUCCESS,2025-04-08 00:52:36
-0.1199,-2.992,SUCCESS,2025-04-08 00:55:01
-0.1062,-3.002,SUCCESS,2025-04-08 00:57:25
-0.1142,-2.991,SUCCESS,2025-04-08 00:59:47
-0.1188,-3.009,SUCCESS,2025-04-08 01:02:16
-0.1052,-2.994,FAILURE,2025-04-08 01:04:43
-0.1162,-3.007,SUCCESS,2025-04-08 01:16:43
-0.1092,-2.998,SUCCESS,2025-04-08 01:19:14
